K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,4096,10.790,0.000,2.022,0.000,12.811
26,4096,23.407,0.000,1.582,0.000,24.989
27,4096,51.162,0.000,1.269,0.000,52.432
28,4096,59.930,138.890,3.945,0.000,202.765
29,4096,116.421,289.968,4.233,0.000,410.622
30,4096,229.022,631.460,4.121,0.000,864.603
31,4096,516.684,1467.091,4.790,0.000,1988.565
32,4096,1021.958,3004.999,5.245,0.000,4032.202
33,4096,2038.021,6088.739,5.490,0.000,8132.250
34,4096,4001.421,11761.389,5.205,0.000,15768.014
35,4096,8383.662,23830.549,5.283,0.000,32219.494
