K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,2.829,0.000,0.349,0.000,3.179
26,262144,5.812,0.000,0.735,0.000,6.547
27,262144,13.262,0.000,1.421,0.000,14.683
28,262144,25.040,0.000,2.795,0.000,27.836
29,262144,53.003,0.000,1.565,0.000,54.568
30,262144,138.404,0.000,0.001,0.000,138.405
31,262144,465.417,0.000,0.000,0.000,465.417
32,262144,575.851,0.000,0.270,0.000,576.121
33,262144,236.476,0.000,1.704,0.000,238.179
